CID dG0'f pH T I var 
C01236 -1382.800 7.00 298.15 0.25 0 
C01326 160.300 7.00 298.15 0.25 0 
C01353 -546.800 7.00 298.15 0.25 0 
C01384 -513.800 7.00 298.15 0.25 0 
C01412 196.100 7.00 298.15 0.25 0 
C01417 -98.200 7.00 298.15 0.25 0 
C01438 128.600 7.00 298.15 0.25 0 
C01507 -374.300 7.00 298.15 0.25 0 
C01755 91.800 7.00 298.15 0.25 0 
C01845 140.700 7.00 298.15 0.25 0 
C02037 -194.600 7.00 298.15 0.25 0 
C02226 -441.000 7.00 298.15 0.25 0 
C02271 15.400 7.00 298.15 0.25 0 
C02357 -75.700 7.00 298.15 0.25 0 
C02359 -236.500 7.00 298.15 0.25 0 
C02364 -231.000 7.00 298.15 0.25 0 
C02370 -77.300 7.00 298.15 0.25 0 
C02371 -226.000 7.00 298.15 0.25 0 
C02612 -602.700 7.00 298.15 0.25 0 
C03196 -599.000 7.00 298.15 0.25 0 
C03232 -1374.500 7.00 298.15 0.25 0 
C03383 -497.900 7.00 298.15 0.25 0 
C03384 -1311.800 7.00 298.15 0.25 0 
C05361 290.900 7.00 298.15 0.25 0 
C05572 -352.200 7.00 298.15 0.25 0 
C05979 150.100 7.00 298.15 0.25 0 
C05984 -221.900 7.00 298.15 0.25 0 
C06142 235.600 7.00 298.15 0.25 0 
C06547 244.400 7.00 298.15 0.25 0 
C06670 -155.000 7.00 298.15 0.25 0 
C06752 90.000 7.00 298.15 0.25 0 
C06789 27.600 7.00 298.15 0.25 0 
C06790 66.200 7.00 298.15 0.25 0 
C06791 113.500 7.00 298.15 0.25 0 
C06792 109.300 7.00 298.15 0.25 0 
C06793 181.900 7.00 298.15 0.25 0 
C07561 -45.100 7.00 298.15 0.25 0 
C09306 -300.700 7.00 298.15 0.25 0 
C13827 -25.800 7.00 298.15 0.25 0 
C14039 113.700 7.00 298.15 0.25 0 
C14400 103.200 7.00 298.15 0.25 0 
C14705 3.700 7.00 298.15 0.25 0 
C14818 -82.100 7.00 298.15 0.25 0 
C14819 -11.900 7.00 298.15 0.25 0 
C18246 53.200 7.00 298.15 0.25 0 
C18247 94.300 7.00 298.15 0.25 0 
C18248 166.900 7.00 298.15 0.25 0 
C19034 164.600 7.00 298.15 0.25 0 
C19248 -49.600 7.00 298.15 0.25 0 
C19496 -27.500 7.00 298.15 0.25 0 
C19536 44.600 7.00 298.15 0.25 0 
C80002 306.000 7.00 298.15 0.25 0 
C80003 247.300 7.00 298.15 0.25 0 
C80004 244.800 7.00 298.15 0.25 0 
C80005 241.300 7.00 298.15 0.25 0 
C80006 193.900 7.00 298.15 0.25 0 
C80007 182.700 7.00 298.15 0.25 0 
C80008 179.000 7.00 298.15 0.25 0 
C80009 137.300 7.00 298.15 0.25 0 
C80010 130.700 7.00 298.15 0.25 0 
C80011 135.000 7.00 298.15 0.25 0 
C80012 86.400 7.00 298.15 0.25 0 
C80013 46.000 7.00 298.15 0.25 0 
C80014 -83.800 7.00 298.15 0.25 0 
C80015 -148.300 7.00 298.15 0.25 0 
C80016 -157.300 7.00 298.15 0.25 0 
C80017 -141.200 7.00 298.15 0.25 0 
C80018 -142.800 7.00 298.15 0.25 0 
C80019 -152.100 7.00 298.15 0.25 0 
C80020 -212.700 7.00 298.15 0.25 0 
C80021 -200.900 7.00 298.15 0.25 0 
C80022 -47.300 7.00 298.15 0.25 0 
C80023 -40.800 7.00 298.15 0.25 0 
C80024 -34.100 7.00 298.15 0.25 0 
C80025 15.700 7.00 298.15 0.25 0 
C80026 18.100 7.00 298.15 0.25 0 
C80027 20.900 7.00 298.15 0.25 0 
C80028 -12.600 7.00 298.15 0.25 0 
C80029 -246.700 7.00 298.15 0.25 0 
C80030 6.600 7.00 298.15 0.25 0 
C80043 69.500 7.00 298.15 0.25 0 
C80045 227.000 7.00 298.15 0.25 0 
C80046 -7.400 7.00 298.15 0.25 0 
C80047 318.600 7.00 298.15 0.25 0 
C80048 240.500 7.00 298.15 0.25 0 
C80049 164.100 7.00 298.15 0.25 0 
C80050 407.200 7.00 298.15 0.25 0 
C80051 334.900 7.00 298.15 0.25 0 
C80052 321.100 7.00 298.15 0.25 0 
C80053 498.200 7.00 298.15 0.25 0 
C80054 418.600 7.00 298.15 0.25 0 
C80055 444.000 7.00 298.15 0.25 0 
