RID dG0'r pH T I 
R26 2.603 8.16 304.15 NaN 
R26 2.646 8.34 304.15 NaN 
R26 2.391 8.34 298.15 NaN 
R26 2.410 8.54 298.15 NaN 
R26 1.129 8.33 298.15 NaN 
R26 1.253 8.53 298.15 NaN 
R26 1.798 8.50 298.15 NaN 
R26 -0.654 8.32 298.15 NaN 
R26 -0.588 8.50 298.15 NaN 
R26 2.524 8.54 298.15 NaN 
R26 1.913 8.68 298.15 NaN 
R18 1.935 8.87 298.15 NaN 
R61 2.490 7.79 298.15 NaN 
R62 2.490 6.04 298.15 NaN 
R63 2.417 6.67 298.15 NaN 
R64 2.504 6.77 298.15 NaN 
R8 2.497 7.41 298.15 NaN 
R8 2.490 7.45 298.15 NaN 
R8 2.630 8.54 298.15 NaN 
R8 2.630 8.54 298.15 NaN 
R8 0.371 8.28 298.15 NaN 
R8 2.197 8.67 298.15 NaN 
R8 0.177 6.83 311.15 NaN 
R8 2.699 7.98 310.25 NaN 
R8 2.012 8.73 298.15 NaN 
R8 2.721 8.13 310.25 NaN 
R8 2.608 8.40 298.15 NaN 
R8 2.462 8.68 286.05 NaN 
R8 3.357 8.56 298.15 NaN 
R8 1.978 8.57 298.15 NaN 
R8 1.844 8.30 298.15 NaN 
R8 2.504 7.93 298.15 NaN 
R8 3.338 8.40 298.15 NaN 
R8 2.497 6.88 298.15 NaN 
R8 2.556 8.67 292.15 NaN 
R8 0.391 8.51 298.15 NaN 
R8 2.221 8.49 298.15 NaN 
R8 0.193 7.04 311.15 NaN 
R8 2.455 8.85 286.05 NaN 
R8 -3.602 7.80 297.15 NaN 
R8 0.551 6.10 297.15 NaN 
R8 1.476 8.00 297.15 NaN 
R8 0.881 8.00 297.15 NaN 
R8 0.431 8.00 297.15 NaN 
R8 2.263 8.00 297.15 NaN 
R8 3.423 8.00 297.15 NaN 
R8 0.025 8.00 297.15 NaN 
R8 1.102 8.00 297.15 NaN 
R8 1.615 8.00 297.15 NaN 
R8 0.989 8.00 297.15 NaN 
R8 3.233 8.00 297.15 NaN 
R8 1.388 9.00 297.15 NaN 
R8 2.142 10.10 297.15 NaN 
R8 1.388 8.00 297.15 NaN 
R8 1.261 7.00 297.15 NaN 
R8 3.524 8.00 297.15 NaN 
R8 1.917 8.00 297.15 NaN 
R61 4.734 7.40 298.15 NaN 
R8 -3.308 8.08 298.15 NaN 
R8 -2.586 6.50 298.15 NaN 
R8 -2.874 7.28 298.15 NaN 
R8 -2.396 6.03 298.15 NaN 
R8 -2.577 6.04 298.15 NaN 
R8 -2.220 6.08 298.15 NaN 
R8 -2.515 6.08 298.15 NaN 
R8 -2.890 6.23 298.15 NaN 
R8 -2.935 6.23 298.15 NaN 
R8 -2.859 6.29 298.15 NaN 
R8 -3.025 7.50 288.00 NaN 
R8 -3.771 7.50 299.50 NaN 
R8 -3.104 6.50 298.15 NaN 
R8 -3.608 7.00 298.15 NaN 
R8 -3.824 7.50 298.15 NaN 
R8 -4.061 8.50 298.15 NaN 
R8 -3.032 6.50 298.15 NaN 
R30 -3.385 7.00 298.15 NaN 
R48 -3.676 8.00 298.15 NaN 
R48 -3.738 8.50 298.15 NaN 
R48 -2.117 6.00 298.15 NaN 
R48 -2.117 6.00 298.15 NaN 
R48 -3.090 6.88 298.15 NaN 
R48 -3.556 8.08 298.15 NaN 
R48 -2.646 6.50 298.15 NaN 
R48 -3.111 6.90 298.15 NaN 
R48 -3.090 7.28 298.15 NaN 
R48 -2.890 6.29 298.15 NaN 
R48 -2.803 6.34 298.15 NaN 
R48 -2.890 6.34 298.15 NaN 
R48 -3.194 6.49 298.15 NaN 
R48 -3.228 6.49 298.15 NaN 
R48 -3.334 6.55 298.15 NaN 
R48 -3.490 6.74 298.15 NaN 
R48 -3.654 6.74 298.15 NaN 
R48 -3.591 6.78 298.15 NaN 
R48 -3.591 6.84 298.15 NaN 
R48 -3.660 7.00 298.15 NaN 
R48 -3.738 7.00 298.15 NaN 
R48 -3.824 7.00 298.15 NaN 
R48 -3.671 7.12 298.15 NaN 
R48 -3.886 7.12 298.15 NaN 
R48 -3.886 7.12 298.15 NaN 
R48 -3.759 7.38 298.15 NaN 
R48 -3.802 7.38 298.15 NaN 
R48 -3.988 7.38 298.15 NaN 
R48 -3.824 7.46 298.15 NaN 
R48 -3.897 7.46 298.15 NaN 
R48 -3.917 7.46 298.15 NaN 
R48 -4.017 7.88 298.15 NaN 
R48 -4.037 7.88 298.15 NaN 
R48 -4.406 7.88 298.15 NaN 
R48 -4.061 7.94 298.15 NaN 
R48 -4.027 8.25 298.15 NaN 
R48 -2.874 6.50 298.15 NaN 
R48 -3.003 6.34 298.15 NaN 
R48 -3.435 6.84 298.15 NaN 
R48 -3.840 7.85 298.15 NaN 
R48 -3.973 8.25 298.15 NaN 
R48 -3.988 8.00 298.15 NaN 
R48 -3.608 7.50 298.15 NaN 
R48 -1.862 5.92 298.15 NaN 
R48 -2.973 6.23 298.15 NaN 
R48 -2.973 6.23 298.15 NaN 
R48 -3.181 6.55 298.15 NaN 
R48 -3.688 7.00 298.15 NaN 
R48 -3.834 7.38 298.15 NaN 
R48 -4.108 7.88 298.15 NaN 
R48 -3.886 7.16 298.15 NaN 
R48 -4.108 8.25 298.15 NaN 
R48 -4.252 7.50 307.50 NaN 
R48 -4.012 8.25 298.15 NaN 
R48 -3.295 6.43 298.15 NaN 
R48 -3.579 6.84 298.15 NaN 
R48 -3.973 7.16 298.15 NaN 
R48 -4.108 7.85 298.15 NaN 
R48 -2.515 6.13 298.15 NaN 
R48 -2.935 8.08 298.15 NaN 
R48 -2.415 6.00 298.15 NaN 
R48 -3.366 7.28 298.15 NaN 
R48 -2.851 6.90 298.15 NaN 
R48 -2.319 6.13 298.15 NaN 
R48 -2.085 5.92 298.15 NaN 
R48 -2.270 6.00 298.15 NaN 
R48 -2.270 6.00 298.15 NaN 
R48 -4.108 7.94 298.15 NaN 
R48 -2.803 6.81 298.15 NaN 
R48 -2.958 7.12 298.15 NaN 
R48 11.913 7.30 302.15 NaN 
R48 3.050 8.00 303.15 NaN 
R48 3.282 8.00 293.15 NaN 
R48 2.890 8.00 311.15 NaN 
R48 -5.925 7.07 311.15 NaN 
R48 -5.933 7.07 311.15 NaN 
R48 -6.200 7.07 311.15 NaN 
R48 -7.185 7.07 311.15 NaN 
R48 -8.689 7.07 311.15 NaN 
R48 -9.955 7.07 311.15 NaN 
R48 -5.824 6.64 311.15 NaN 
R48 -6.030 6.64 311.15 NaN 
R48 -8.751 6.64 311.15 NaN 
R48 -9.900 6.64 311.15 NaN 
R48 -6.805 7.07 311.15 NaN 
R48 -10.231 7.07 311.15 NaN 
R24 -6.967 7.45 311.15 NaN 
R24 -7.136 6.64 311.15 NaN 
R65 -8.579 7.45 311.15 NaN 
R7 -9.900 7.07 311.15 NaN 
R7 -5.816 7.45 311.15 NaN 
R7 -7.341 7.07 311.15 NaN 
R1 -6.104 7.07 311.15 NaN 
R1 -7.474 7.07 311.15 NaN 
R1 -5.954 7.07 311.15 NaN 
R1 -5.954 7.07 311.15 NaN 
R1 -9.983 7.07 311.15 NaN 
R1 -10.494 7.07 311.15 NaN 
R1 -6.468 7.07 311.15 NaN 
R1 -5.909 7.07 311.15 NaN 
R1 -5.941 7.45 311.15 NaN 
R1 -9.933 7.45 311.15 NaN 
R1 -9.761 7.07 311.15 NaN 
R1 -9.351 7.07 311.15 NaN 
R1 3.281 7.50 310.15 NaN 
R1 2.658 7.50 273.15 NaN 
R1 3.041 8.70 298.15 NaN 
R1 2.991 8.70 298.15 NaN 
R1 2.967 8.70 298.15 NaN 
R1 2.968 8.70 304.95 NaN 
R1 2.865 8.70 310.15 NaN 
R1 2.706 8.70 316.15 NaN 
R1 2.918 8.70 298.15 NaN 
R1 3.093 8.70 298.15 NaN 
R1 -15.023 7.25 310.15 NaN 
R1 -14.696 7.00 311.15 0.25 
R1 -15.041 7.00 311.15 0.25 
R1 -14.907 7.00 311.15 0.25 
R1 -14.833 7.00 311.15 0.25 
R1 -14.696 7.00 311.15 0.25 
R1 -15.056 6.95 311.15 0.25 
R1 -14.757 6.92 311.15 0.25 
R42 -14.378 6.89 311.15 0.25 
R42 -14.722 6.93 311.15 0.25 
R7 -14.808 6.73 311.15 0.25 
R7 -14.466 7.00 311.15 0.25 
R7 -14.731 6.91 311.15 0.25 
R7 -14.245 6.87 311.15 0.25 
R7 -14.660 6.92 311.15 0.25 
R7 -14.774 7.00 311.15 0.25 
R7 -14.328 6.90 311.15 0.25 
R7 -15.010 7.00 311.15 0.25 
R2 -14.476 6.88 311.15 0.25 
R66 -15.386 6.96 311.15 0.25 
R66 -15.079 6.86 311.15 0.25 
R66 -14.642 6.95 311.15 0.25 
R66 -14.642 6.95 311.15 0.25 
R66 -14.799 6.72 311.15 0.25 
R66 7.294 6.30 310.15 NaN 
R66 3.678 7.00 310.15 NaN 
R66 0.286 7.00 310.60 NaN 
R66 -0.325 7.00 345.20 NaN 
R66 -0.226 7.00 341.60 NaN 
R66 -0.101 7.00 333.20 NaN 
R66 0.022 7.00 326.50 NaN 
R66 0.175 7.00 318.20 NaN 
R66 3.113 7.30 311.15 NaN 
R66 0.997 7.00 311.15 0.25 
R66 -20.420 7.20 310.15 NaN 
R66 7.826 7.50 310.15 NaN 
R66 -6.608 6.80 298.15 NaN 
R66 -9.219 7.50 288.15 NaN 
R66 -0.871 7.34 293.15 NaN 
R66 -6.985 7.00 303.15 NaN 
R66 3.573 8.70 278.85 NaN 
R66 3.267 8.70 295.15 NaN 
R67 22.098 7.40 303.15 NaN 
R67 19.408 8.00 303.15 NaN 
R25 17.162 8.40 303.15 NaN 
R25 14.881 9.00 303.15 NaN 
R25 -7.295 7.50 298.15 NaN 
R25 -16.843 5.50 298.15 NaN 
R25 1.819 7.00 298.15 NaN 
R25 3.154 7.00 298.15 NaN 
R30 2.421 7.30 285.15 NaN 
R19 2.149 7.40 320.25 NaN 
R68 1.961 7.40 325.25 NaN 
R9 1.799 7.40 331.95 NaN 
R1 1.502 7.40 343.75 NaN 
R10 2.444 7.40 313.15 NaN 
R48 1.614 7.40 338.15 NaN 
R18 1.951 7.40 328.15 NaN 
R7 -8.643 7.00 310.15 NaN 
R7 -22.368 6.53 298.15 NaN 
R55 -17.514 7.50 298.15 NaN 
R55 -13.729 8.52 298.15 NaN 
R55 -14.148 9.71 298.15 NaN 
R55 -16.876 10.18 298.15 NaN 
R12 -13.843 9.16 298.15 NaN 
R54 -13.600 9.16 298.15 NaN 
R8 -19.103 6.50 298.15 NaN 
R8 -17.805 9.32 298.15 NaN 
R8 -14.528 9.13 298.15 NaN 
R69 -13.272 8.88 298.15 NaN 
R69 -13.013 9.23 298.15 NaN 
R69 -14.478 9.16 298.15 NaN 
R69 -15.795 8.12 298.15 NaN 
R69 -14.276 9.16 298.15 NaN 
R69 14.432 7.50 310.15 NaN 
R69 23.365 7.20 311.15 NaN 
R31 24.328 7.20 301.15 NaN 
R70 22.311 7.20 321.15 NaN 
R70 23.301 7.33 311.15 NaN 
R70 -8.737 5.65 298.15 NaN 
R70 -9.149 5.65 310.15 NaN 
R70 -8.429 5.65 292.15 NaN 
R70 -8.791 5.65 304.15 NaN 
R70 -8.468 5.65 286.15 NaN 
R70 -18.384 7.00 295.15 NaN 
R70 -15.442 6.00 310.15 NaN 
R70 -18.344 7.00 310.15 NaN 
R70 -20.635 7.90 310.15 NaN 
R70 -14.631 6.00 308.15 NaN 
R70 -16.014 6.00 308.15 NaN 
R70 -17.555 6.00 308.15 NaN 
R70 -11.189 7.00 308.15 NaN 
R38 -16.728 7.00 308.15 NaN 
R37 -11.782 7.80 293.15 NaN 
R37 -13.981 7.80 308.15 NaN 
R37 -14.052 7.80 293.15 NaN 
R37 -15.478 7.80 303.15 NaN 
R39 -16.258 7.80 308.15 NaN 
R39 -17.598 7.80 313.15 NaN 
R39 -12.364 7.00 308.15 NaN 
R39 -20.194 6.00 308.15 NaN 
R39 -12.554 7.80 299.15 NaN 
R15 -19.540 7.00 308.15 NaN 
R15 -13.937 7.00 308.15 NaN 
R15 -13.178 7.80 303.15 NaN 
R15 -14.790 7.80 313.15 NaN 
R71 -24.136 7.00 308.15 NaN 
R71 -14.714 7.80 299.15 NaN 
R71 3.298 7.60 303.15 NaN 
R71 4.747 7.00 283.15 NaN 
R71 4.906 7.07 292.65 NaN 
R71 4.819 7.13 298.15 NaN 
R71 4.865 6.94 303.15 NaN 
R71 4.640 7.12 288.15 NaN 
R71 36.091 7.50 303.15 NaN 
R71 10.427 7.10 310.15 NaN 
R71 2.012 7.40 298.15 NaN 
R71 20.651 7.00 298.15 NaN 
R71 -0.000 7.30 311.15 NaN 
R71 -25.990 7.00 295.15 NaN 
R71 3.103 7.60 310.15 NaN 
R71 2.204 6.00 274.15 NaN 
R71 2.294 6.00 293.15 NaN 
R71 2.853 6.00 293.15 NaN 
R71 1.910 6.00 313.15 NaN 
R71 -0.213 7.50 333.15 NaN 
R72 -10.611 6.50 323.15 NaN 
R30 -7.034 8.48 298.15 NaN 
R30 -0.099 7.60 303.15 NaN 
R30 -0.330 7.60 303.15 NaN 
R30 3.346 7.60 303.15 NaN 
R30 3.280 7.60 303.15 NaN 
R73 -0.522 7.90 303.15 NaN 
R9 0.884 7.50 303.15 NaN 
R8 -0.217 7.00 303.15 NaN 
R53 0.718 7.00 303.15 NaN 
R19 -0.522 6.06 303.15 NaN 
R74 1.039 5.00 303.15 NaN 
R42 0.374 5.00 303.15 NaN 
R8 0.603 4.90 303.15 NaN 
R8 -0.217 7.60 303.15 NaN 
R8 -0.622 7.50 303.15 NaN 
R8 0.482 5.57 303.15 NaN 
R25 1.580 7.60 303.15 NaN 
R75 0.240 6.06 303.15 NaN 
R31 -0.330 7.50 303.15 NaN 
R8 0.351 6.04 303.15 NaN 
R8 0.920 6.50 303.15 NaN 
R8 0.902 7.00 303.15 NaN 
R8 0.902 7.00 303.15 NaN 
R8 0.439 5.49 303.15 NaN 
R8 -0.025 7.60 303.15 NaN 
R8 0.866 5.60 303.15 NaN 
R8 3.216 7.60 303.15 NaN 
R8 -0.263 6.56 303.15 NaN 
R8 -0.522 8.20 303.15 NaN 
R8 -0.562 7.90 303.15 NaN 
R8 -0.352 7.50 303.15 NaN 
R8 -0.074 7.60 303.15 NaN 
R8 -11.036 4.50 318.15 NaN 
R8 3.788 7.00 310.15 NaN 
R8 -2.418 7.29 323.30 NaN 
R8 -3.649 7.29 292.80 NaN 
R8 -3.065 7.29 308.10 NaN 
R8 -2.972 7.29 313.40 NaN 
R8 -2.714 7.29 318.30 NaN 
R8 -3.482 7.29 298.50 NaN 
R8 -3.788 7.29 288.30 NaN 
R8 -3.253 7.29 303.00 NaN 
R8 -0.544 7.80 343.15 NaN 
R8 -0.213 7.80 333.15 NaN 
R8 -0.000 7.80 323.15 NaN 
R8 -0.368 7.80 338.15 NaN 
R8 1.786 7.50 310.15 NaN 
R8 -7.273 7.50 293.15 NaN 
R8 -7.247 7.50 313.15 NaN 
R8 -7.167 7.50 303.15 NaN 
R51 -3.688 7.40 298.15 NaN 
R76 19.508 7.00 311.15 0.25 
R24 19.416 7.00 311.15 0.25 
R24 20.283 7.00 311.15 0.25 
R24 20.583 7.00 311.15 0.25 
R24 20.823 7.00 311.15 0.25 
R24 20.823 7.00 311.15 0.25 
R24 21.530 7.00 311.15 0.25 
R24 21.171 7.00 311.15 0.25 
R24 20.230 7.00 311.15 0.25 
R25 21.227 7.00 311.15 0.25 
R25 21.540 7.00 311.15 0.25 
R25 17.810 7.00 311.15 0.25 
R25 21.209 7.00 311.15 0.25 
R57 21.435 7.00 311.15 0.25 
R31 21.171 7.00 311.15 0.25 
R31 19.412 7.00 311.15 0.25 
R31 21.718 7.00 311.15 0.25 
R24 16.936 7.00 311.15 0.25 
R11 2.724 7.50 298.15 NaN 
R11 1.406 7.50 298.15 NaN 
R11 -0.505 7.50 298.15 NaN 
R11 0.261 7.50 298.15 NaN 
R11 0.453 7.50 298.15 NaN 
R11 -0.383 7.50 298.15 NaN 
R11 1.266 7.50 298.15 NaN 
R11 -0.000 7.50 298.15 NaN 
R11 1.513 7.50 298.15 NaN 
R11 2.074 7.50 298.15 NaN 
R11 -0.729 7.50 298.15 NaN 
R11 1.117 7.50 298.15 NaN 
R11 -0.775 7.50 298.15 NaN 
R11 0.411 7.50 298.15 NaN 
R11 -0.353 7.50 298.15 NaN 
R11 -13.781 5.00 313.00 NaN 
R11 12.676 8.00 298.15 NaN 
R11 4.364 8.70 298.35 NaN 
R8 3.748 8.70 313.25 NaN 
R8 3.904 8.70 314.05 NaN 
R8 2.440 8.70 342.15 NaN 
R8 3.150 8.70 328.15 NaN 
R8 3.464 8.70 320.15 NaN 
R8 2.738 8.70 335.05 NaN 
R8 4.044 8.70 306.15 NaN 
R8 -10.328 8.20 310.15 NaN 
R8 0.116 7.00 318.15 NaN 
R8 -0.711 7.00 343.15 NaN 
R8 -0.365 7.00 333.15 NaN 
R8 -0.947 7.00 353.15 NaN 
R8 0.475 7.00 303.15 NaN 
R8 -1.654 7.50 310.15 NaN 
R8 47.609 8.00 303.15 NaN 
R77 44.924 7.20 303.15 NaN 
R78 1.481 7.40 298.15 NaN 
R14 11.869 7.40 310.15 NaN 
R14 -0.111 7.10 340.15 NaN 
R14 -0.444 7.10 360.15 NaN 
R14 -0.251 7.10 350.15 NaN 
R14 9.572 7.40 298.15 NaN 
R14 12.574 7.40 298.15 NaN 
R14 13.307 7.40 298.15 NaN 
R14 12.896 7.40 298.15 NaN 
R43 13.631 7.40 298.15 NaN 
R25 14.654 7.40 298.15 NaN 
R25 14.672 7.40 298.15 NaN 
R25 14.546 7.40 298.15 NaN 
R25 14.573 7.40 298.15 NaN 
R25 14.494 7.40 298.15 NaN 
R21 14.835 7.40 298.15 NaN 
R49 14.460 7.40 298.15 NaN 
R49 12.003 7.40 298.15 NaN 
R8 13.941 7.40 298.15 NaN 
R33 14.599 7.40 298.15 NaN 
R25 9.607 7.40 298.15 NaN 
R25 11.798 7.40 298.15 NaN 
R25 12.824 7.40 298.15 NaN 
R65 14.796 7.40 298.15 NaN 
R65 0.354 7.30 303.15 NaN 
R65 0.189 7.30 318.15 NaN 
R65 0.011 7.30 333.15 NaN 
R65 -0.274 7.30 343.15 NaN 
R65 -23.937 7.40 298.15 NaN 
R65 -19.385 7.40 298.15 NaN 
R65 -19.511 7.40 298.15 NaN 
R65 -17.525 7.40 298.15 NaN 
R65 -15.363 7.40 298.15 NaN 
R65 -11.756 7.40 298.15 NaN 
R65 -11.435 7.40 298.15 NaN 
R65 -21.936 7.40 298.15 NaN 
R65 -15.661 7.40 298.15 NaN 
R65 -16.747 7.40 298.15 NaN 
R65 -17.858 7.40 298.15 NaN 
R65 -17.858 7.40 298.15 NaN 
R65 -14.763 7.40 298.15 NaN 
R65 -12.172 7.40 298.15 NaN 
R25 -20.207 7.40 277.90 NaN 
R25 -20.399 7.40 283.10 NaN 
R25 -20.258 7.40 303.00 NaN 
R25 -20.289 7.40 312.70 NaN 
R71 -20.240 7.40 298.15 NaN 
R71 -15.239 7.40 298.15 NaN 
R71 -20.403 7.40 298.15 NaN 
R71 -20.403 7.40 298.15 NaN 
R71 -11.668 7.40 298.15 NaN 
R71 -24.134 7.40 298.15 NaN 
R71 -13.306 7.40 298.15 NaN 
R71 -18.639 7.40 298.15 NaN 
R71 -23.272 7.40 298.15 NaN 
R71 -20.145 7.40 292.90 NaN 
R71 8.528 7.40 298.15 NaN 
R71 15.656 7.00 303.15 NaN 
R71 15.117 7.00 313.15 NaN 
R71 12.485 7.00 333.15 NaN 
R71 15.597 7.00 311.15 NaN 
R71 -7.518 5.00 313.00 NaN 
R71 -14.429 7.00 310.15 0.30 
R71 -17.327 7.58 310.15 0.17 
R71 -16.764 7.50 310.15 0.21 
R71 -13.112 6.60 310.15 0.20 
R71 -14.523 7.10 310.15 0.22 
R71 -12.464 8.50 311.15 NaN 
R71 -4.759 8.50 311.15 NaN 
R71 -11.547 8.50 311.15 NaN 
R71 4.644 7.40 310.15 0.13 
R71 9.508 7.00 310.15 NaN 
R71 -9.944 7.73 311.15 0.25 
R71 -10.084 8.13 311.15 0.25 
R41 -10.026 8.12 311.15 0.25 
R6 -10.110 7.00 311.15 0.25 
R6 -9.999 7.00 311.15 0.25 
R6 -10.105 7.00 311.15 0.25 
R6 -10.115 7.00 311.15 0.25 
R51 -10.115 7.00 311.15 0.25 
R15 -10.171 7.00 311.15 0.25 
R15 -10.146 6.98 311.15 0.12 
R15 -10.539 6.98 311.15 0.41 
R15 -10.477 6.98 311.15 0.56 
R15 -12.484 5.90 311.15 0.25 
R27 -12.428 5.99 311.15 0.25 
R10 -11.225 6.47 311.15 0.25 
R79 -11.000 6.52 311.15 0.25 
R30 -11.136 6.53 311.15 0.25 
R9 -10.366 6.89 311.15 0.25 
R80 -10.517 6.89 311.15 0.25 
R80 -10.578 6.91 311.15 0.25 
R80 -10.561 6.91 311.15 0.25 
R80 -10.561 6.91 311.15 0.25 
R80 -10.578 6.92 311.15 0.25 
R80 -10.256 6.95 311.15 0.25 
R80 -10.357 6.98 311.15 0.25 
R80 -10.105 7.36 311.15 0.25 
R80 -9.843 7.66 311.15 0.25 
R80 -10.399 6.98 311.15 0.71 
R80 -10.399 6.98 311.15 1.00 
R80 -10.539 6.98 311.15 1.00 
R80 -10.431 6.89 311.15 0.25 
R80 -9.905 7.43 311.15 0.25 
R80 -10.105 7.00 311.15 0.25 
R80 -10.933 6.49 311.15 0.25 
R80 -10.463 6.95 311.15 0.25 
R80 -10.508 6.98 311.15 0.71 
R80 -10.486 6.91 311.15 0.25 
R80 -10.166 8.16 311.15 0.25 
R80 -10.413 6.98 311.15 0.41 
R80 -9.977 7.00 311.15 0.25 
R80 -9.955 8.02 311.15 0.25 
R80 -9.999 7.00 311.15 0.25 
R80 -9.999 7.00 311.15 0.25 
R80 -10.309 6.98 311.15 0.56 
R80 -10.352 6.98 311.15 0.12 
R80 -9.977 7.00 311.15 0.25 
R80 1.588 7.50 310.15 NaN 
R80 -8.643 7.50 310.15 NaN 
R80 1.037 7.40 298.15 NaN 
R80 -6.109 7.30 303.15 NaN 
R80 4.848 7.40 328.15 NaN 
R80 4.453 7.40 331.95 NaN 
R80 4.006 7.40 343.75 NaN 
R80 5.121 7.40 320.25 NaN 
R80 4.179 7.40 338.15 NaN 
R80 4.789 7.40 325.25 NaN 
R80 2.427 7.50 310.15 NaN 
R80 0.291 7.50 306.15 NaN 
R80 -0.011 7.50 331.85 NaN 
R80 -0.257 7.50 344.15 NaN 
R80 -0.540 7.50 358.15 NaN 
R80 -0.428 7.50 353.15 NaN 
R80 0.098 7.50 322.15 NaN 
R80 0.356 7.50 298.15 NaN 
R7 0.172 7.50 313.15 NaN 
R32 0.935 6.12 303.15 NaN 
R19 1.902 6.81 303.15 NaN 
R26 1.956 7.50 303.15 NaN 
R81 2.308 7.88 303.15 NaN 
R81 1.032 7.40 310.15 NaN 
R81 -5.528 7.50 298.15 0.10 
R81 -6.133 7.50 310.15 0.10 
R81 -8.885 7.50 298.15 0.10 
R81 -9.491 7.50 298.15 0.10 
R69 -10.335 7.50 298.15 0.10 
R25 -9.607 7.50 298.15 0.04 
R25 -10.785 7.50 298.15 0.04 
R25 -9.006 7.50 298.15 0.07 
R25 -10.429 7.50 298.15 0.07 
R25 -7.601 7.50 298.15 0.15 
R25 -8.524 7.50 298.15 0.15 
R25 -6.297 7.50 298.15 0.15 
R25 -10.132 7.50 298.15 0.15 
R8 -7.578 7.50 298.15 0.10 
R8 -9.529 7.50 298.15 0.15 
R8 -6.030 7.50 298.15 0.04 
R8 -10.410 7.50 298.15 0.04 
R42 -9.813 7.50 298.15 0.10 
R1 -6.198 7.50 298.15 0.10 
R1 -7.801 7.50 298.15 0.07 
R1 -6.931 7.50 298.15 0.07 
R1 -6.931 7.50 298.15 0.07 
R1 -6.073 7.50 298.15 0.07 
R1 -9.906 7.50 298.15 0.07 
R1 -10.491 7.50 298.15 0.10 
R1 -8.220 7.50 298.15 0.04 
R1 -10.296 7.50 298.15 0.07 
R1 -5.391 7.00 303.15 NaN 
R1 -21.239 7.00 308.15 NaN 
R1 -13.151 7.00 308.15 NaN 
R1 -10.729 7.00 308.15 NaN 
R1 -18.727 7.80 308.15 NaN 
R1 -16.586 7.80 308.15 NaN 
R1 -15.143 7.80 308.15 NaN 
R1 -13.298 7.80 308.15 NaN 
R1 -11.022 7.80 308.15 NaN 
R1 -17.475 6.20 308.15 NaN 
R1 -15.965 6.20 308.15 NaN 
R1 -15.143 7.80 308.15 NaN 
R1 -15.914 7.80 308.15 NaN 
R1 -20.502 7.80 308.15 NaN 
R1 -10.527 7.80 308.15 NaN 
R1 -10.527 7.80 308.15 NaN 
R1 -15.528 7.80 308.15 NaN 
R1 -14.690 7.80 308.15 NaN 
R64 -15.644 7.80 308.15 NaN 
R71 -15.343 7.80 308.15 NaN 
R71 -18.156 6.15 308.15 NaN 
R71 -13.298 7.82 308.15 NaN 
R71 -20.136 6.20 308.15 NaN 
R71 -18.156 6.20 308.15 NaN 
R71 -15.467 6.20 308.15 NaN 
R71 -12.654 6.20 308.15 NaN 
R71 -14.690 6.20 308.15 NaN 
R71 -18.156 7.00 308.15 NaN 
R71 -15.343 7.00 308.15 NaN 
R71 -15.587 7.80 308.15 NaN 
R71 -13.298 7.80 308.15 NaN 
R71 -12.037 7.80 308.15 NaN 
R71 -11.022 7.80 308.15 NaN 
R71 -17.491 7.80 313.15 NaN 
R71 -17.491 7.80 313.15 NaN 
R71 -15.016 7.80 299.15 NaN 
R71 -15.011 7.80 313.15 NaN 
R71 -13.925 7.80 308.15 NaN 
R71 -13.426 7.80 302.15 NaN 
R71 -12.617 7.80 299.15 NaN 
R71 -11.858 7.80 293.15 NaN 
R71 -12.408 7.80 302.15 NaN 
R71 -10.735 7.80 293.15 NaN 
R71 -12.996 7.80 308.15 NaN 
R71 -11.802 7.80 302.15 NaN 
R71 -11.448 7.80 299.15 NaN 
R71 -10.705 7.80 293.15 NaN 
R71 -14.336 7.80 308.15 NaN 
R71 -17.611 7.80 308.15 NaN 
R71 -10.916 7.80 308.15 NaN 
R71 -10.951 7.80 308.15 NaN 
R71 -13.151 7.80 308.15 NaN 
R71 -12.037 7.80 308.15 NaN 
R71 -11.715 7.80 308.15 NaN 
R71 -11.284 7.80 308.15 NaN 
R71 -15.157 7.80 308.15 NaN 
R71 -14.336 7.00 308.15 NaN 
R71 -14.429 7.00 308.15 NaN 
R71 -11.284 7.80 308.15 NaN 
R71 -11.494 7.00 308.15 NaN 
R71 -13.151 7.80 308.15 NaN 
R71 -12.464 8.93 308.15 NaN 
R71 -11.741 7.00 308.15 NaN 
R71 -20.136 6.20 308.15 NaN 
R71 -17.689 7.80 308.15 NaN 
R71 -13.727 7.80 293.15 NaN 
R71 -13.727 7.80 293.15 NaN 
R71 -12.464 7.80 308.15 NaN 
R71 -15.001 7.80 308.15 NaN 
R71 -10.951 7.80 308.15 NaN 
R71 -16.249 6.42 308.15 NaN 
R71 -16.739 7.00 308.15 NaN 
R71 -12.037 7.80 308.15 NaN 
R71 -13.436 7.00 308.15 NaN 
R71 -16.625 7.80 308.15 NaN 
R71 -14.151 7.80 313.15 NaN 
R71 -16.111 7.80 308.15 NaN 
R71 -17.419 7.80 308.15 NaN 
R71 -15.553 7.80 302.15 NaN 
R71 -11.685 7.80 299.15 NaN 
R71 -15.343 7.80 308.15 NaN 
R71 -16.063 7.80 308.15 NaN 
R71 49.897 8.00 303.15 NaN 
R71 -0.079 7.00 323.15 NaN 
R71 -10.375 7.60 310.15 NaN 
R71 -11.618 4.50 318.15 NaN 
R71 -17.351 7.30 303.15 NaN 
