RID dG0'r pH T I 
R8 12.023 7.00 333.15 NaN 
R8 10.884 7.00 343.15 NaN 
R8 19.071 7.00 266.15 NaN 
R8 18.413 7.00 273.15 NaN 
R8 -2.551 7.40 298.15 NaN 
R8 -13.796 8.40 298.15 0.29 
R8 8.831 7.60 300.15 NaN 
R8 -11.499 6.81 311.15 0.25 
R8 -11.265 6.83 311.15 0.25 
R8 -11.413 6.92 311.15 0.25 
R8 -11.876 6.94 311.15 0.25 
R8 -11.745 6.94 311.15 0.25 
R8 -11.447 6.94 311.15 0.25 
R8 -11.388 6.96 311.15 0.25 
R8 -11.487 6.98 311.15 0.25 
R8 -11.621 7.00 311.15 0.25 
R8 -11.378 7.01 311.15 0.25 
R6 -11.720 7.02 311.15 0.25 
R6 -11.894 7.03 311.15 0.25 
R6 -11.589 7.15 311.15 0.25 
R6 -11.813 7.19 311.15 0.25 
R6 -11.697 7.22 311.15 0.25 
R26 -11.807 7.23 311.15 0.25 
R27 -11.520 7.51 311.15 0.25 
R22 -11.777 7.00 311.15 0.25 
R28 -11.350 7.00 311.15 0.25 
R28 -11.681 7.00 311.15 0.25 
R28 -11.603 7.00 311.15 0.25 
R28 -11.603 7.00 311.15 0.25 
R28 -11.444 7.00 311.15 0.25 
R28 -11.228 7.00 311.15 0.25 
R28 -11.481 7.00 311.15 0.25 
R28 -11.111 7.00 311.15 0.25 
R28 -11.094 7.00 311.15 0.25 
R28 -11.984 7.00 311.15 0.07 
R28 -12.200 7.00 311.15 0.07 
R28 -10.967 7.00 311.15 0.50 
R28 -11.478 7.00 311.15 0.50 
R28 -10.906 7.00 311.15 0.75 
R28 -10.910 7.00 311.15 0.75 
R28 -11.580 6.98 311.15 0.25 
R28 -11.317 7.00 311.15 0.25 
R28 -11.520 7.00 311.15 0.25 
R28 -10.753 7.00 311.15 0.75 
R28 -11.907 6.92 311.15 0.25 
R28 -11.933 6.98 311.15 0.25 
R28 -11.623 7.15 311.15 0.25 
R28 -11.594 7.53 311.15 0.25 
R28 -11.594 7.00 311.15 0.25 
R28 -11.594 7.00 311.15 0.25 
R28 -11.933 7.00 311.15 0.07 
R28 -11.125 7.00 311.15 0.50 
R28 -10.813 7.00 311.15 0.75 
R28 -11.736 7.17 311.15 0.25 
R28 -11.731 7.00 311.15 0.25 
R28 -11.160 7.00 311.15 0.25 
R28 -12.154 7.00 311.15 0.07 
R28 -11.655 6.94 311.15 0.25 
R28 -11.469 7.01 311.15 0.25 
R28 -11.150 7.00 311.15 0.50 
R28 -11.568 6.91 311.15 0.25 
R28 -3.585 8.00 298.15 NaN 
R28 -9.837 7.00 298.15 NaN 
R28 -1.954 8.00 298.15 NaN 
R28 3.033 8.60 303.15 NaN 
R28 1.032 7.50 310.15 NaN 
R28 -4.148 6.80 310.15 NaN 
R28 3.584 7.40 311.15 NaN 
R28 2.870 8.00 303.15 NaN 
R28 -8.191 6.50 310.15 NaN 
R28 -10.786 7.40 311.15 0.25 
R28 -6.136 7.40 298.15 NaN 
R28 9.900 7.00 312.15 NaN 
R28 11.563 7.00 302.15 NaN 
R28 -12.938 8.00 303.15 NaN 
R28 8.428 7.10 310.15 NaN 
R28 -0.217 7.40 303.15 NaN 
R28 -2.190 7.19 298.15 0.31 
R28 11.506 7.00 298.15 0.10 
R24 9.984 7.50 303.15 NaN 
R29 -4.919 6.80 278.15 NaN 
R19 -4.482 6.80 288.15 NaN 
R7 -4.037 6.80 298.15 NaN 
R7 -3.452 6.80 311.15 NaN 
R26 -2.017 6.80 327.15 NaN 
R30 24.002 7.10 311.15 NaN 
R7 11.869 8.40 310.15 NaN 
R31 -4.312 5.80 311.15 NaN 
R32 5.267 7.40 310.65 NaN 
R26 0.746 7.00 298.15 NaN 
R33 -0.387 7.00 333.15 NaN 
R33 -0.748 7.00 343.15 NaN 
R34 0.217 7.00 313.15 NaN 
R9 -12.948 7.00 310.15 NaN 
R8 15.597 7.00 311.15 NaN 
R35 15.656 7.00 303.15 NaN 
R36 15.117 7.00 313.15 NaN 
R9 12.485 7.00 333.15 NaN 
R24 -8.424 7.00 311.15 0.25 
R24 20.890 8.30 295.15 NaN 
R24 7.629 7.40 298.15 NaN 
R24 0.919 7.30 310.15 NaN 
R24 -1.021 7.40 303.15 NaN 
R37 0.482 7.00 311.15 0.25 
R38 -4.596 5.15 303.15 NaN 
R10 -4.514 5.43 303.15 NaN 
R30 -4.829 6.10 303.15 NaN 
R25 -4.428 6.65 303.15 NaN 
R25 -4.514 4.60 303.15 NaN 
R25 -4.754 5.01 303.15 NaN 
R25 -4.637 5.70 303.15 NaN 
R39 -7.787 7.60 303.15 NaN 
R6 -12.115 6.99 310.15 0.25 
R6 0.531 7.40 303.15 NaN 
R6 0.056 7.00 333.15 NaN 
R6 -0.083 7.00 338.15 NaN 
R40 -0.374 7.00 343.15 NaN 
R13 -0.575 7.00 348.15 NaN 
R41 -0.966 7.00 353.15 NaN 
R19 2.870 8.00 303.15 0.10 
R16 4.907 8.40 298.15 0.10 
R42 5.192 8.40 298.15 0.10 
R26 5.740 8.40 298.15 0.10 
R26 6.454 8.40 298.15 0.10 
R26 9.479 8.40 298.15 0.10 
R26 10.261 8.40 298.15 0.10 
R26 9.981 8.40 298.15 0.10 
R26 9.130 8.40 298.15 0.10 
R26 7.004 8.40 298.15 0.10 
R12 9.210 8.40 298.15 0.10 
R43 9.899 8.40 298.15 0.10 
R8 8.746 8.40 298.15 0.10 
R25 6.811 8.40 298.15 0.10 
R25 7.645 8.40 298.15 0.10 
R25 7.796 8.40 298.15 0.10 
R25 10.009 8.40 298.15 0.10 
R25 5.295 8.40 298.15 0.10 
R7 6.708 8.40 298.15 0.10 
R44 8.236 6.50 298.15 NaN 
R44 7.472 6.80 298.15 NaN 
R44 8.772 6.20 298.15 NaN 
R44 6.772 7.00 298.15 NaN 
R44 5.337 7.30 298.15 NaN 
R44 3.244 7.70 298.15 NaN 
R44 -0.166 6.85 343.15 NaN 
R44 -0.279 6.85 352.65 NaN 
R44 -0.055 6.85 333.15 NaN 
R44 -12.091 6.99 310.15 0.25 
R44 -12.115 6.99 310.15 0.25 
R44 -11.687 5.65 292.25 NaN 
R44 -12.233 5.65 310.25 NaN 
R44 -11.841 5.65 298.15 NaN 
R44 -11.435 5.65 286.45 NaN 
R44 -12.074 5.65 304.55 NaN 
R44 0.052 6.91 310.15 0.25 
R44 0.047 6.90 310.15 0.25 
